ticker,company,snapshot,n_results,n_matched,n_ai_builder,n_ai_user,n_ai_leader,builder_rate,ai_rate
KMX,CarMax,2026-06,25,2,1,0,0,0.5,0.5
KO,Coca-Cola Company,2026-06,25,8,1,0,1,0.125,0.25
KR,Kroger,2026-06,25,3,1,0,1,0.3333333333333333,0.6666666666666666
KSS,Kohl's,2026-06,25,10,2,1,1,0.2,0.4
KVUE,Kenvue,2026-06,25,9,0,0,0,0.0,0.0
L,Loews Corporation,2026-06,25,1,0,0,0,0.0,0.0
LDOS,Leidos,2026-06,25,17,15,1,0,0.8823529411764706,0.9411764705882353
LEN,Lennar,2026-06,25,7,3,2,0,0.42857142857142855,0.7142857142857143
LH,Labcorp,2026-06,25,13,2,0,0,0.15384615384615385,0.15384615384615385
LHX,L3Harris,2026-06,25,12,2,0,0,0.16666666666666666,0.16666666666666666
LII,Lennox International,2026-06,25,1,0,0,0,0.0,0.0
LIN,Linde plc,2026-06,25,0,0,0,0,,
LITE,Lumentum,2026-06,25,1,0,0,0,0.0,0.0
LKQ,LKQ Corporation,2026-06,25,0,0,0,0,,
LLY,Eli Lilly,2026-06,25,25,20,0,5,0.8,1.0
LMT,Lockheed Martin,2026-06,25,14,12,0,0,0.8571428571428571,0.8571428571428571
LNT,Alliant Energy,2026-06,25,0,0,0,0,,
LOW,Lowes,2026-06,25,4,0,0,0,0.0,0.0
LRCX,Lam Research,2026-06,25,5,0,0,0,0.0,0.0
LULU,Lululemon,2026-06,25,24,8,0,2,0.3333333333333333,0.4166666666666667
LUV,Southwest Airlines,2026-06,25,3,1,0,1,0.3333333333333333,0.6666666666666666
LVS,Las Vegas Sands,2026-06,25,1,0,0,0,0.0,0.0
LW,Lamb Weston,2026-06,25,4,0,0,0,0.0,0.0
LYB,LyondellBasell,2026-06,25,1,0,0,0,0.0,0.0
LYV,Live Nation Entertainment,2026-06,25,8,0,1,2,0.0,0.375
M,Macy's,2026-06,25,8,0,0,0,0.0,0.0
MA,Mastercard,2026-06,25,13,7,1,1,0.5384615384615384,0.6923076923076923
MAA,Mid-America Apartment Communities,2026-06,25,0,0,0,0,,
MAR,Marriott International,2026-06,25,7,0,0,1,0.0,0.14285714285714285
MAS,Masco,2026-06,25,4,0,0,0,0.0,0.0
MCD,McDonalds,2026-06,25,0,0,0,0,,
MCHP,Microchip Technology,2026-06,25,4,1,0,0,0.25,0.25
MCK,McKesson Corporation,2026-06,25,21,2,5,0,0.09523809523809523,0.3333333333333333
MCO,Moodys Corporation,2026-06,25,11,6,1,0,0.5454545454545454,0.6363636363636364
MDLZ,Mondelez International,2026-06,25,12,1,2,0,0.08333333333333333,0.25
MDT,Medtronic,2026-06,25,5,0,0,0,0.0,0.0
MET,MetLife,2026-06,25,9,2,3,2,0.2222222222222222,0.7777777777777778
META,Meta Platforms,2026-06,25,14,6,1,4,0.42857142857142855,0.7857142857142857
MGM,MGM Resorts,2026-06,25,3,0,0,0,0.0,0.0
MHK,Mohawk Industries,2026-06,25,1,0,0,0,0.0,0.0
MKC,McCormick & Company,2026-06,25,3,3,0,0,1.0,1.0
MKTX,MarketAxess,2026-06,25,4,3,1,0,0.75,1.0
MLM,Martin Marietta Materials,2026-06,25,1,1,0,0,1.0,1.0
MMM,3M,2026-06,25,11,6,0,2,0.5454545454545454,0.7272727272727273
MNST,Monster Beverage,2026-06,25,3,0,0,0,0.0,0.0
MO,Altria,2026-06,25,0,0,0,0,,
MOH,Molina Healthcare,2026-06,25,14,2,1,0,0.14285714285714285,0.21428571428571427
MOS,Mosaic Company,2026-06,25,2,1,0,0,0.5,0.5
MPC,Marathon Petroleum,2026-06,25,5,0,0,0,0.0,0.0
MPWR,Monolithic Power Systems,2026-06,25,1,0,0,0,0.0,0.0
MRK,Merck & Co.,2026-06,25,11,5,1,0,0.45454545454545453,0.5454545454545454
MRNA,Moderna,2026-06,25,25,3,3,3,0.12,0.36
MRSH,Marsh McLennan,2026-06,25,18,2,3,2,0.1111111111111111,0.3888888888888889
MS,Morgan Stanley,2026-06,25,6,2,1,0,0.3333333333333333,0.5
MSCI,MSCI Inc.,2026-06,25,3,2,0,0,0.6666666666666666,0.6666666666666666
MSFT,Microsoft,2026-06,25,21,16,4,1,0.7619047619047619,1.0
MSI,Motorola Solutions,2026-06,25,15,1,0,1,0.06666666666666667,0.13333333333333333
MTB,M&T Bank,2026-06,25,11,4,0,1,0.36363636363636365,0.45454545454545453
MTCH,Match Group,2026-06,25,2,2,0,0,1.0,1.0
MTD,Mettler Toledo,2026-06,25,2,1,0,0,0.5,0.5
MU,Micron Technology,2026-06,25,8,2,0,0,0.25,0.25
NCLH,Norwegian Cruise Line Holdings,2026-06,25,2,0,0,0,0.0,0.0
NDAQ,Nasdaq Inc.,2026-06,25,7,2,0,1,0.2857142857142857,0.42857142857142855
NDSN,Nordson Corporation,2026-06,25,2,0,0,0,0.0,0.0
NEE,NextEra Energy,2026-06,25,1,1,0,0,1.0,1.0
NEM,Newmont,2026-06,25,4,1,0,0,0.25,0.25
NFLX,Netflix,2026-06,25,24,20,0,4,0.8333333333333334,1.0
NI,NiSource,2026-06,25,1,0,0,0,0.0,0.0
NKE,Nike Inc.,2026-06,25,18,6,2,2,0.3333333333333333,0.5555555555555556
NOC,Northrop Grumman,2026-06,25,19,3,0,1,0.15789473684210525,0.21052631578947367
NOW,ServiceNow,2026-06,25,13,3,3,5,0.23076923076923078,0.8461538461538461
NRG,NRG Energy,2026-06,25,4,0,0,0,0.0,0.0
NSC,Norfolk Southern,2026-06,25,1,1,0,0,1.0,1.0
NTAP,NetApp,2026-06,25,8,0,1,0,0.0,0.125
NTRS,Northern Trust,2026-06,25,3,2,0,0,0.6666666666666666,0.6666666666666666
NUE,Nucor,2026-06,25,5,1,0,0,0.2,0.2
NVDA,Nvidia,2026-06,25,25,21,1,3,0.84,1.0
NVR,NVR Inc.,2026-06,25,0,0,0,0,,
NWSA,News Corp,2026-06,25,4,3,0,0,0.75,0.75
NXPI,NXP Semiconductors,2026-06,25,8,2,0,1,0.25,0.375
O,Realty Income,2026-06,25,1,0,0,0,0.0,0.0
ODFL,Old Dominion,2026-06,25,2,0,0,0,0.0,0.0
ODP,Office Depot,2026-06,25,1,0,0,0,0.0,0.0
OKE,Oneok,2026-06,25,2,0,0,0,0.0,0.0
OMC,Omnicom Group,2026-06,25,4,0,1,0,0.0,0.25
ON,ON Semiconductor,2026-06,25,0,0,0,0,,
ORCL,Oracle Corporation,2026-06,25,20,15,1,3,0.75,0.95
ORLY,OReilly Automotive,2026-06,25,1,0,0,0,0.0,0.0
OTIS,Otis Worldwide,2026-06,25,4,0,0,0,0.0,0.0
OXY,Occidental Petroleum,2026-06,25,1,1,0,0,1.0,1.0
PANW,Palo Alto Networks,2026-06,25,15,6,3,1,0.4,0.6666666666666666
PAYC,Paycom,2026-06,25,0,0,0,0,,
PAYX,Paychex,2026-06,25,4,0,0,0,0.0,0.0
PCAR,Paccar,2026-06,25,4,1,0,0,0.25,0.25
PCG,PG&E Corporation,2026-06,25,4,0,1,1,0.0,0.5
PEG,Public Service Enterprise Group,2026-06,25,3,1,0,0,0.3333333333333333,0.3333333333333333
PEP,PepsiCo,2026-06,25,9,4,1,0,0.4444444444444444,0.5555555555555556
PFE,Pfizer,2026-06,25,14,6,1,3,0.42857142857142855,0.7142857142857143
PFG,Principal Financial Group,2026-06,25,1,1,0,0,1.0,1.0
PG,Procter & Gamble,2026-06,25,5,1,0,0,0.2,0.2
PGR,Progressive Corporation,2026-06,25,4,1,1,0,0.25,0.5
PH,Parker Hannifin,2026-06,25,1,0,0,0,0.0,0.0
PHM,PulteGroup,2026-06,25,0,0,0,0,,
PKG,Packaging Corporation of America,2026-06,25,1,1,0,0,1.0,1.0
PLD,Prologis,2026-06,25,1,0,1,0,0.0,1.0
PLTR,Palantir Technologies,2026-06,25,5,2,0,0,0.4,0.4
PM,Philip Morris International,2026-06,25,7,0,0,0,0.0,0.0
PNC,PNC Financial,2026-06,25,8,1,0,0,0.125,0.125
PNR,Pentair,2026-06,25,1,0,0,0,0.0,0.0
PNW,Pinnacle West Capital,2026-06,25,0,0,0,0,,
PODD,Insulet Corporation,2026-06,25,8,0,0,0,0.0,0.0
POOL,Pool Corporation,2026-06,25,3,0,0,0,0.0,0.0
PPG,PPG Industries,2026-06,25,15,3,0,1,0.2,0.26666666666666666
PPL,PPL Corporation,2026-06,25,2,0,1,0,0.0,0.5
PRU,Prudential Financial,2026-06,25,13,7,0,0,0.5384615384615384,0.5384615384615384
PSA,Public Storage,2026-06,25,0,0,0,0,,
PSKY,Paramount Skydance Corporation,2026-06,25,18,5,1,2,0.2777777777777778,0.4444444444444444
PSX,Phillips 66,2026-06,25,1,0,0,0,0.0,0.0
PTC,PTC Inc.,2026-06,25,7,2,1,0,0.2857142857142857,0.42857142857142855
PWR,Quanta Services,2026-06,25,0,0,0,0,,
PYPL,PayPal,2026-06,25,7,3,3,0,0.42857142857142855,0.8571428571428571
Q,Qnity Electronics,2026-06,25,8,0,0,0,0.0,0.0
QCOM,Qualcomm,2026-06,25,7,2,1,0,0.2857142857142857,0.42857142857142855
RAD,Rite Aid,2026-06,25,0,0,0,0,,
RCL,Royal Caribbean Group,2026-06,25,2,0,0,0,0.0,0.0
REG,Regency Centers,2026-06,25,0,0,0,0,,
REGN,Regeneron Pharmaceuticals,2026-06,25,25,12,1,5,0.48,0.72
RF,Regions Financial Corporation,2026-06,25,3,0,0,0,0.0,0.0
RJF,Raymond James Financial,2026-06,25,5,2,1,0,0.4,0.6
