company_id,name,sector_larridin,in_larridin,ticker,cik,gics_sector,in_sp500,match_method,ticker_dup,share_class_dup
8c64b3a0-f87f-425b-8e76-0029b033fcfa,Live Nation Entertainment,communication-services,True,LYV,0001335258,Communication Services,True,sp500_exact,False,False
0ce4f7c9-32ff-47d6-bcd3-337de598e836,Lockheed Martin,industrials,True,LMT,0000936468,Industrials,True,sp500_exact,False,False
f921797a-085a-4628-95af-57780a182bed,Loews Corporation,financials,True,L,0000060086,Financials,True,sp500_exact,False,False
e4813128-8352-487f-94af-65ab3ba3a0ed,Lowes,consumer-discretionary,True,LOW,0000060667,Consumer Discretionary,True,manual,False,False
9cf2a587-cd91-4d2e-92c5-71e5f15bbe37,Lululemon,retail,True,LULU,0001397187,Consumer Discretionary,True,manual,True,False
a7de8516-50d8-49d6-a8eb-3411d16b3716,Lululemon Athletica,consumer-discretionary,True,LULU,0001397187,Consumer Discretionary,True,sp500_exact,True,True
cc0a712f-e1ba-4b4d-af32-10020fbef5d9,LyondellBasell,materials,True,LYB,0001489393,Materials,True,sp500_exact,False,False
7d3e97e8-7ad1-4bc9-bc4c-87c02184271d,M&T Bank,financials,True,MTB,0000036270,Financials,True,sp500_exact,False,False
f1fe2bff-5327-48d3-963e-1f572b48d853,MGM Resorts,consumer-discretionary,True,MGM,0000789570,Consumer Discretionary,True,sp500_exact,False,False
1656dc78-8560-470e-88ef-429ffecb80d4,MSCI Inc.,financials,True,MSCI,0001408198,Financials,True,sp500_exact,False,False
0cc36674-15e8-4729-bc2e-998ad805c278,Macy's,retail,True,M,0000794367,,False,sec_exact,False,False
7bb9ae46-8436-437f-9e68-e5402f03d44f,Marathon Petroleum,energy,True,MPC,0001510295,Energy,True,sp500_exact,False,False
7afc8ac3-5afc-491d-9844-a230df152f48,MarketAxess,financials,True,MKTX,0001278021,,False,sec_exact,False,False
ff3ab27b-769d-4958-bbb8-e97c99e1ddfe,Marriott International,consumer-discretionary,True,MAR,0001048286,Consumer Discretionary,True,sp500_exact,False,False
05d399d1-a2d5-49e5-8829-04a47e955b20,Marsh McLennan,financials,True,MRSH,0000062709,Financials,True,sp500_exact,False,False
7ca714d8-49f7-40b9-b3e2-3cf38e771372,Martin Marietta Materials,materials,True,MLM,0000916076,Materials,True,sp500_exact,False,False
9cd9fea9-5073-4328-abed-0461a46bfd67,Masco,industrials,True,MAS,0000062996,Industrials,True,sp500_exact,False,False
361d0837-cd27-4ba1-b39c-1995f14b49ca,Mastercard,financials,True,MA,0001141391,Financials,True,sp500_exact,False,False
361aee96-892b-4b04-8e92-55038a29478c,Match Group,communication-services,True,MTCH,0000891103,,False,sec_exact,False,False
866d00a2-8175-4303-bdef-553e631247f5,McCormick & Company,consumer-staples,True,MKC,0000063754,Consumer Staples,True,sp500_exact,False,False
f8854553-8c22-43c4-8b3c-23e9a21a34f8,McDonalds,consumer-discretionary,True,MCD,0000063908,,False,sec_exact,False,False
c5590e1c-9d22-4b61-b0c8-2e0a7fb4f263,McKesson Corporation,healthcare,True,MCK,0000927653,Health Care,True,sp500_exact,False,False
51fc2e27-75fb-4a83-bdc3-1f923705fc8d,Medtronic,healthcare,True,MDT,0001613103,Health Care,True,sp500_exact,False,False
549c197b-36fb-4e04-becd-09323c646eb9,Merck & Co.,healthcare,True,MRK,0000310158,Health Care,True,sp500_exact,False,False
72aef4a1-95f9-40f3-9608-9e1fe1be853e,MetLife,financials,True,MET,0001099219,Financials,True,sp500_exact,False,False
1772f5cc-9b4d-49ff-a320-65ab8a68d8b4,Meta Platforms,communication-services,True,META,0001326801,Communication Services,True,sp500_exact,False,False
3d4d96b3-6638-4ea8-bf71-c7a7574c2e87,Mettler Toledo,healthcare,True,MTD,0001037646,Health Care,True,sp500_exact,False,False
15194262-32a7-42c4-a536-c2de8c613f17,Michaels,retail,True,,,,False,private:private,False,False
dedd02d1-4d31-403c-a7af-570b7bcf0214,Microchip Technology,technology,True,MCHP,0000827054,Information Technology,True,sp500_exact,False,False
bbdfda16-0d5d-4fd5-acbf-31abf115756b,Micron Technology,technology,True,MU,0000723125,Information Technology,True,sp500_exact,False,False
f15999e9-5ff4-4c80-b639-5b36479af72e,Microsoft,technology,True,MSFT,0000789019,Information Technology,True,sp500_exact,False,False
dbb5baa2-aa72-47be-b8d7-afeeaa6c49ff,Mid-America Apartment Communities,real-estate,True,MAA,0000912595,Real Estate,True,sp500_exact,False,False
ffbd8988-c3ce-4721-9aee-9c12a35f5fa8,Moderna,healthcare,True,MRNA,0001682852,Health Care,True,sp500_exact,False,False
f7eee46d-63d8-4e8c-8b3f-91c208083a1b,Mohawk Industries,consumer-discretionary,True,MHK,0000851968,,False,sec_exact,False,False
c67fd17c-e009-4560-ba03-ba609fc1e55b,Molina Healthcare,healthcare,True,MOH,0001179929,,False,sec_exact,False,False
f790b68a-ff4e-40a4-b266-9efdce0eb53b,Molson Coors Beverage Company,consumer-staples,True,TAP,0000024545,Consumer Staples,True,sp500_exact,False,False
11a0c7bf-a0bf-4cbb-a3f8-05b67ec8853f,Mondelez International,consumer-staples,True,MDLZ,0001103982,Consumer Staples,True,sp500_exact,False,False
e892b8d1-ed02-4c19-8643-5aaf9ed893de,Monolithic Power Systems,technology,True,MPWR,0001280452,Information Technology,True,sp500_exact,False,False
fa9090e5-cc15-47fa-85d1-ccda70ab50b1,Monster Beverage,consumer-staples,True,MNST,0000865752,Consumer Staples,True,sp500_exact,False,False
83c6519a-1ab9-4093-a407-42f63eab50b9,Moodys Corporation,financials,True,MCO,0001059556,Financials,True,sp500_fuzzy:moody s,False,False
93214609-bfab-4e37-a26c-61d88306a655,Morgan Stanley,financials,True,MS,0000895421,Financials,True,sp500_exact,False,False
3564e535-f0e5-4e8d-ad77-e54e5b76f972,Mosaic Company,materials,True,MOS,0001285785,Materials,True,sp500_exact,False,False
ffdbc4d3-18aa-4387-b1a4-96fc5f133d52,Motorola Solutions,technology,True,MSI,0000068505,Information Technology,True,sp500_exact,False,False
b747aa82-d551-445c-93ab-1943edd56174,NRG Energy,utilities,True,NRG,0001013871,Utilities,True,sp500_exact,False,False
08f5db64-628c-4c89-898a-9254d41047ec,NVR Inc.,consumer-discretionary,True,NVR,0000906163,Consumer Discretionary,True,sp500_exact,False,False
fce427bc-ff14-4c38-8a6b-61a8be00fbbf,NXP Semiconductors,technology,True,NXPI,0001413447,Information Technology,True,sp500_exact,False,False
4851fe91-ba87-4070-be7d-1f82b52b17e4,Nasdaq Inc.,financials,True,NDAQ,0001120193,Financials,True,sp500_exact,False,False
7ae30792-a030-4406-b15a-0ff29dc8537c,NetApp,technology,True,NTAP,0001002047,Information Technology,True,sp500_exact,False,False
b4a62250-f343-4ae2-8a16-4d612474ec95,Netflix,communication-services,True,NFLX,0001065280,Communication Services,True,sp500_exact,False,False
d36cc704-c416-4be8-b7b1-97340a0dd925,Newmont,materials,True,NEM,0001164727,Materials,True,sp500_exact,False,False
4a9a94eb-66db-4a2a-a8ac-adda13f7a52b,News Corp,communication-services,True,NWSA,0001564708,Communication Services,True,manual,False,False
9e589c45-e0a9-46bd-b55a-e85276cbb0a3,NextEra Energy,utilities,True,NEE,0000753308,Utilities,True,sp500_exact,False,False
09faa4a6-aa9e-4c4e-824e-a43bc4acd881,NiSource,utilities,True,NI,0001111711,Utilities,True,sp500_exact,False,False
f4472eff-e6b5-4996-acf0-1f70208c2a08,Nike Inc.,consumer-discretionary,True,NKE,0000320187,Consumer Discretionary,True,sp500_exact,False,False
1eccdf9d-afd4-4f63-a392-3e37b9de6564,Nordson Corporation,industrials,True,NDSN,0000072331,Industrials,True,sp500_exact,False,False
a1ddd15a-bd86-470a-b16e-82ef3871a0f4,Nordstrom,retail,True,JWN,,,False,manual,False,False
5da38e79-aee0-4061-a67a-1ec6c6472b37,Norfolk Southern,industrials,True,NSC,0000702165,Industrials,True,sp500_exact,False,False
ccf3a8c1-3014-4f5a-8c60-666abd15a246,Northern Trust,financials,True,NTRS,0000073124,Financials,True,sp500_exact,False,False
f51c0d24-705d-401d-8242-69a16b454ec5,Northrop Grumman,industrials,True,NOC,0001133421,Industrials,True,sp500_exact,False,False
5bd4cda1-39a9-4ab3-b763-3a0c490a8739,Norwegian Cruise Line Holdings,consumer-discretionary,True,NCLH,0001513761,Consumer Discretionary,True,sp500_exact,False,False
9a7e44f7-c521-4822-8956-dfdfb4b14ed7,Nucor,materials,True,NUE,0000073309,Materials,True,sp500_exact,False,False
173635d5-1433-4ebc-8f68-f39fe88f89a1,Nvidia,technology,True,NVDA,0001045810,Information Technology,True,sp500_exact,False,False
1650ac62-d8dd-442a-bf34-f1150ecb2e2c,ON Semiconductor,technology,True,ON,0001097864,Information Technology,True,sp500_exact,False,False
334298b4-5f86-4f5c-9dbd-c02ace9c0c8d,OReilly Automotive,consumer-discretionary,True,ORLY,0000898173,Consumer Discretionary,True,sp500_fuzzy:o reilly automotive,False,False
2372c872-d718-43ff-8529-bdd55c5d7396,Occidental Petroleum,energy,True,OXY,0000797468,Energy,True,sp500_exact,False,False
ff569b41-cc6d-4092-b98e-47fe0c4a9566,Office Depot,retail,True,ODP,,,False,manual,False,False
f82057a7-e91c-4118-87a9-7dc4a2275e54,Old Dominion,industrials,True,ODFL,0000878927,Industrials,True,sp500_exact,False,False
1ccb859c-83e4-49d1-8f0d-28672ab267e6,Omnicom Group,communication-services,True,OMC,0000029989,Communication Services,True,sp500_exact,False,False
e81cc57a-d29d-4cc1-be3e-be5e41e198e0,Oneok,energy,True,OKE,0001039684,Energy,True,sp500_exact,False,False
70412951-f104-47f3-8971-b084a59f95a0,Oracle Corporation,technology,True,ORCL,0001341439,Information Technology,True,sp500_exact,False,False
f0836ff3-fdfc-4c7a-8203-9e1a6484b3c0,Otis Worldwide,industrials,True,OTIS,0001781335,Industrials,True,sp500_exact,False,False
b51a45d0-c2a2-42db-b343-3bdee72a4757,PG&E Corporation,utilities,True,PCG,0001004980,Utilities,True,sp500_exact,False,False
5246a86e-ec14-4ca4-bbbe-1feb7d6d34c0,PNC Financial,financials,True,PNC,0000713676,Financials,True,manual,True,False
50e77857-1371-49fd-a251-53540b7dbe59,PNC Financial Services,financials,True,PNC,0000713676,Financials,True,sp500_exact,True,True
c56802cf-569e-4b1f-ad71-4dfdbb24b7c9,PPG Industries,materials,True,PPG,0000079879,Materials,True,sp500_exact,False,False
