ticker,company,snapshot,n_results,n_matched,n_ai_builder,n_ai_user,n_ai_leader,builder_rate,ai_rate
A,Agilent Technologies,2026-07,25,5,4,0,0,0.8,0.8
AAPL,Apple Inc.,2026-07,58,26,22,1,2,0.8461538461538461,0.9615384615384616
ABBV,AbbVie,2026-07,54,44,21,3,12,0.4772727272727273,0.8181818181818182
ABNB,Airbnb,2026-07,60,38,38,0,0,1.0,1.0
ABT,Abbott Laboratories,2026-07,52,8,5,0,0,0.625,0.625
ACGL,Arch Capital Group,2026-07,50,9,6,0,1,0.6666666666666666,0.7777777777777778
ACI,Albertsons,2026-07,24,2,1,0,1,0.5,1.0
ACN,Accenture,2026-07,60,24,15,5,4,0.625,1.0
ADBE,Adobe Inc.,2026-07,54,23,13,1,7,0.5652173913043478,0.9130434782608695
ADI,Analog Devices,2026-07,25,19,14,0,2,0.7368421052631579,0.8421052631578947
ADM,Archer Daniels Midland,2026-07,25,12,5,0,2,0.4166666666666667,0.5833333333333334
ADP,Automatic Data Processing,2026-07,25,0,0,0,0,,
ADSK,Autodesk,2026-07,51,25,17,1,7,0.68,1.0
AEE,Ameren,2026-07,25,1,0,0,0,0.0,0.0
AEP,American Electric Power,2026-07,25,11,3,0,2,0.2727272727272727,0.45454545454545453
AES,AES Corporation,2026-07,25,12,2,0,2,0.16666666666666666,0.3333333333333333
AFL,Aflac,2026-07,25,8,3,0,1,0.375,0.5
AIG,American International Group,2026-07,25,16,11,0,2,0.6875,0.8125
AIZ,Assurant,2026-07,25,1,1,0,0,1.0,1.0
AJG,Arthur J. Gallagher & Co.,2026-07,25,3,0,0,0,0.0,0.0
AKAM,Akamai Technologies,2026-07,51,15,2,2,0,0.13333333333333333,0.26666666666666666
ALB,Albemarle Corporation,2026-07,25,2,0,0,1,0.0,0.5
ALGN,Align Technology,2026-07,25,9,4,2,0,0.4444444444444444,0.6666666666666666
ALL,Allstate,2026-07,50,28,14,0,6,0.5,0.7142857142857143
ALLE,Allegion,2026-07,25,7,2,0,3,0.2857142857142857,0.7142857142857143
AMAT,Applied Materials,2026-07,25,5,4,0,0,0.8,0.8
AMCR,Amcor,2026-07,25,3,0,0,0,0.0,0.0
AMD,AMD,2026-07,60,15,8,0,0,0.5333333333333333,0.5333333333333333
AME,Ametek,2026-07,25,5,1,0,1,0.2,0.4
AMGN,Amgen,2026-07,60,32,21,4,4,0.65625,0.90625
AMP,Ameriprise Financial,2026-07,25,1,1,0,0,1.0,1.0
AMT,American Tower,2026-07,25,0,0,0,0,,
AMZN,Amazon,2026-07,60,34,28,0,2,0.8235294117647058,0.8823529411764706
ANET,Arista Networks,2026-07,52,9,1,0,0,0.1111111111111111,0.1111111111111111
AON,Aon plc,2026-07,25,11,6,0,3,0.5454545454545454,0.8181818181818182
AOS,A. O. Smith,2026-07,25,2,1,0,0,0.5,0.5
APA,APA Corporation,2026-07,25,1,1,0,0,1.0,1.0
APD,Air Products,2026-07,25,15,9,2,3,0.6,0.9333333333333333
APH,Amphenol,2026-07,25,2,0,0,0,0.0,0.0
APO,Apollo Global Management,2026-07,25,13,4,0,2,0.3076923076923077,0.46153846153846156
APP,AppLovin,2026-07,25,5,5,0,0,1.0,1.0
APTV,Aptiv,2026-07,24,3,2,0,0,0.6666666666666666,0.6666666666666666
ARE,Alexandria Real Estate Equities,2026-07,25,0,0,0,0,,
ARES,Ares Management,2026-07,50,26,3,3,2,0.11538461538461539,0.3076923076923077
ATO,Atmos Energy,2026-07,25,10,4,2,0,0.4,0.6
